account_id,customer_id,account_type,opening_date,balance,account_status
ACC20001,CUST10353,Salary,2025-11-08,93864.71,Inactive
ACC20002,CUST13072,Savings,2021-07-15,35341.72,Active
ACC20003,CUST10027,Salary,2022-01-06,21631.79,Active
ACC20004,CUST14856,Salary,2023-06-02,342076.89,Active
ACC20005,CUST13336,Savings,2022-07-08,726233.58,Active
ACC20006,CUST13064,Current,2025-03-10,56998.99,Active
ACC20007,CUST12292,Savings,2023-06-29,21581.36,Active
ACC20008,CUST14583,Salary,2025-02-27,19167.06,Active
ACC20009,CUST14926,Premium Savings,2026-04-30,211917.86,Active
ACC20010,CUST12478,Savings,2026-02-01,150679.67,Active
ACC20011,CUST14782,Current,2023-06-11,36819.76,Active
ACC20012,CUST10435,Savings,2023-09-29,37438.12,Active
ACC20013,CUST11307,Savings,2025-05-03,53696.31,Active
ACC20014,CUST13932,Premium Savings,2025-04-06,43931.33,Active
ACC20015,CUST12672,Savings,2022-04-06,27835.79,Active
ACC20016,CUST10346,Current,2026-04-17,65328.22,Active
ACC20017,CUST14694,Savings,2026-03-31,5069.81,Active
ACC20018,CUST10086,Current,2025-09-18,17300.5,Closed
ACC20019,CUST12978,Premium Savings,2026-01-31,11142.11,Inactive
ACC20020,CUST14641,Current,2025-02-24,17427.87,Inactive
ACC20021,CUST10119,Savings,2021-03-30,158006.0,Active
ACC20022,CUST12114,Savings,2023-11-08,89863.48,Active
ACC20023,CUST14571,Savings,2025-04-27,11659.28,Active
ACC20024,CUST12291,Savings,2024-08-08,32684.43,Active
ACC20025,CUST13737,Salary,2022-06-05,69657.58,Active
ACC20026,CUST14266,Savings,2022-01-02,71031.46,Active
ACC20027,CUST14959,Savings,2022-06-05,30560.79,Active
ACC20028,CUST11314,Premium Savings,2025-03-17,45497.48,Active
ACC20029,CUST11323,Savings,2024-07-25,45249.49,Dormant
ACC20030,CUST12308,Savings,2021-06-12,16160.62,Dormant
ACC20031,CUST12115,Salary,2021-01-24,13721.6,Active
ACC20032,CUST14917,Savings,2025-09-13,321717.87,Active
ACC20033,CUST12216,Savings,2022-06-10,96886.45,Active
ACC20034,CUST11029,Savings,2024-07-27,74150.07,Active
ACC20035,CUST14567,Current,2024-06-28,80837.18,Dormant
ACC20036,CUST11126,Savings,2023-02-28,69998.19,Dormant
ACC20037,CUST12334,Savings,2026-07-11,8615.7,Active
ACC20038,CUST11342,Savings,2024-12-01,224757.32,Active
ACC20039,CUST14118,Salary,2021-10-26,42588.71,Active
ACC20040,CUST14111,Savings,2024-01-30,79678.96,Active
ACC20041,CUST14450,Premium Savings,2024-12-26,288181.98,Closed
ACC20042,CUST12209,Salary,2022-07-25,42362.29,Active
ACC20043,CUST12265,Savings,2022-05-21,127606.05,Active
ACC20044,CUST12799,Savings,2022-12-01,79953.94,Active
ACC20045,CUST10187,Savings,2025-08-19,62095.0,Active
ACC20046,CUST10728,Savings,2022-06-30,74674.95,Active
ACC20047,CUST14681,Current,2025-05-07,62243.53,Closed
ACC20048,CUST11840,Savings,2023-02-16,58743.29,Active
ACC20049,CUST11036,Savings,2025-03-11,98435.94,Active
ACC20050,CUST11325,Savings,2021-11-14,30323.86,Closed
ACC20051,CUST10611,Current,2025-06-15,373061.85,Active
ACC20052,CUST12938,Savings,2021-03-20,209424.44,Active
ACC20053,CUST12545,Savings,2022-08-24,42488.03,Active
ACC20054,CUST13710,Savings,2023-10-02,168810.75,Active
ACC20055,CUST14746,Premium Savings,2023-06-19,92530.28,Inactive
ACC20056,CUST10534,Savings,2023-08-10,56098.34,Active
ACC20057,CUST10402,Savings,2022-10-16,16702.79,Active
ACC20058,CUST14014,Savings,2022-07-26,144139.13,Inactive
ACC20059,CUST13531,Current,2024-09-30,32273.36,Dormant
ACC20060,CUST10858,Salary,2021-09-01,45477.1,Active
ACC20061,CUST12260,Savings,2023-10-18,40179.23,Active
ACC20063,CUST10635,Savings,2026-08-01,29681.65,Inactive
