card_id,customer_id,card_type,issue_date,credit_limit,card_status,annual_fee
CARD90001,CUST14556,Debit,2025-04-05,,Active,0
CARD90002,CUST13413,Debit,2023-05-22,,Active,0
CARD90003,CUST11987,Credit,2025-01-05,114600.0,Closed,999
CARD90004,CUST13004,Credit,2022-07-19,69400.0,Active,999
CARD90005,CUST10584,Credit,2022-02-11,401100.0,Closed,1499
CARD90006,CUST12791,Credit,2022-11-19,232700.0,Active,499
CARD90007,CUST11255,Debit,2025-02-02,,Active,0
CARD90008,CUST11044,Credit,2023-06-20,274000.0,Closed,499
CARD90009,CUST11403,Credit,2024-05-24,194700.0,Active,0
CARD90010,CUST13763,Debit,2023-11-02,,Active,0
CARD90011,CUST10871,Debit,2022-01-14,,Active,0
CARD90012,CUST11008,Credit,2022-11-05,465000.0,Active,0
CARD90013,CUST11947,Credit,2025-01-13,103500.0,Active,0
CARD90014,CUST12756,Debit,2023-01-15,,Expired,0
CARD90015,CUST10813,Debit,2025-12-16,,Active,0
CARD90016,CUST12207,Credit,2022-02-17,127100.0,Active,999
CARD90017,CUST10754,Credit,2025-06-02,314000.0,Active,999
CARD90018,CUST14235,Debit,2024-11-26,,Expired,0
CARD90019,CUST11119,Credit,2023-10-21,121400.0,Active,499
CARD90020,CUST11660,Debit,2022-11-28,,Blocked,0
CARD90021,CUST12375,Debit,2023-10-23,,Active,0
CARD90022,CUST14567,Credit,2023-10-11,101800.0,Closed,1499
CARD90023,CUST13443,Credit,2022-10-05,130700.0,Expired,499
CARD90024,CUST14011,Debit,2024-01-14,,Active,0
CARD90025,CUST13059,Debit,2023-10-14,,Active,0
CARD90026,CUST10998,Credit,2024-06-16,329400.0,Active,1499
CARD90027,CUST12208,Debit,2022-11-10,,Active,0
CARD90028,CUST10671,Debit,2022-04-04,,Active,0
CARD90029,CUST11192,Debit,2024-08-28,,Active,0
CARD90030,CUST12126,Debit,2022-02-03,,Active,0
CARD90031,CUST11861,Debit,2023-05-21,,Active,0
CARD90032,CUST10234,Debit,2024-12-03,,Active,0
CARD90033,CUST11843,Debit,2024-01-03,,Active,0
CARD90034,CUST13318,Debit,2025-01-23,,Active,0
