customer_id,age,gender,city,occupation,annual_income,signup_date,customer_segment,age_group,income_category
CUST10001,31,Male,Pune,Student,279400.0,2022-05-03,Affluent,Adult,Low
CUST10002,21,Male,Hyderabad,Student,1403300.0,2024-08-01,Affluent,Young Adult,High
CUST10003,39,Male,Trichy,Salaried,798400.0,2022-02-25,Premium,Adult,High
CUST10004,36,Female,Thanjavur,Self-Employed,237200.0,2023-07-04,Mass Market,Adult,Low
CUST10005,52,Male,Salem,Business Owner,872100.0,2025-09-19,Mass Market,Middle Age,High
CUST10006,39,Male,Thanjavur,Business Owner,512600.0,2026-07-04,Mass Market,Adult,Medium
CUST10007,27,Female,Hyderabad,Student,1420200.0,2025-12-12,Young Adult,Adult,High
CUST10008,18,Female,Kochi,Self-Employed,782100.0,2023-09-10,Mass Market,Young Adult,High
CUST10009,43,Female,Vellore,Self-Employed,553450.0,2021-01-11,Mass Market,Middle Age,Medium
CUST10010,33,Male,Chennai,Retired,496600.0,2021-11-27,Young Adult,Adult,Medium
CUST10011,35,Female,Salem,Salaried,399500.0,2022-03-30,Affluent,Adult,Low
CUST10012,29,Male,Bengaluru,Salaried,1137400.0,2024-03-22,Mass Market,Adult,High
CUST10013,18,Female,Delhi,Salaried,786100.0,2022-02-06,Mass Market,Young Adult,High
CUST10014,46,Female,Chennai,Salaried,856100.0,2026-01-16,Affluent,Middle Age,High
CUST10015,41,Female,Madurai,Salaried,399800.0,2021-02-17,Affluent,Middle Age,Low
CUST10016,38,Male,Trichy,Salaried,468700.0,2026-07-02,Mass Market,Adult,Medium
CUST10017,43,Female,Madurai,Freelancer,548800.0,2024-07-11,Mass Market,Middle Age,Medium
CUST10018,22,Male,Bengaluru,Salaried,552600.0,2023-05-12,Premium,Young Adult,Medium
CUST10019,58,Male,Trichy,Salaried,666600.0,2025-06-16,Mass Market,Middle Age,Medium
CUST10020,32,Female,Delhi,Student,898100.0,2023-10-28,Mass Market,Adult,High
CUST10021,40,Female,Trichy,Freelancer,1485800.0,2024-11-25,Affluent,Adult,High
CUST10022,44,Male,Trichy,Business Owner,517400.0,2024-12-31,Affluent,Middle Age,Medium
CUST10023,18,Female,Delhi,Retired,1397600.0,2025-03-22,Mass Market,Young Adult,High
CUST10024,54,Other,Madurai,Salaried,613100.0,2021-11-09,Mass Market,Middle Age,Medium
CUST10025,37,Female,Trichy,Salaried,482300.0,2024-10-26,Affluent,Adult,Medium
CUST10026,18,Male,Delhi,Salaried,846700.0,2022-01-03,Mass Market,Young Adult,High
CUST10027,32,Female,Erode,Business Owner,553450.0,2024-04-11,Mass Market,Adult,Medium
CUST10028,66,Male,Bengaluru,Student,501500.0,2024-03-24,Premium,Senior,Medium
CUST10029,33,Female,Erode,Salaried,553450.0,2026-02-17,Affluent,Adult,Medium
CUST10030,20,Male,Chennai,Business Owner,539700.0,2022-08-01,Mass Market,Young Adult,Medium
CUST10031,34,Female,Mumbai,Student,1279500.0,2024-06-19,Mass Market,Adult,High
CUST10032,40,Male,Chennai,Freelancer,158300.0,2021-04-12,Mass Market,Adult,Low
CUST10033,29,Male,Trichy,Salaried,697500.0,2025-02-19,Mass Market,Adult,Medium
