loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,loan_status,application_date,loan_to_income_ratio
LOAN70001,CUST12666,Personal,277100.0,13.6,24,Closed,2022-03-30,0.4782533655505696
LOAN70002,CUST11477,Personal,305000.0,15.82,120,Active,2023-11-25,0.15407931295781763
LOAN70003,CUST12832,Personal,1275600.0,8.21,60,Pending,2025-04-17,2.3048152497967296
LOAN70004,CUST11308,Business,825800.0,16.44,48,Closed,2023-03-04,2.437426210153483
LOAN70005,CUST13599,Personal,1565300.0,10.49,60,Active,2025-11-23,4.207795698924731
LOAN70006,CUST13285,Business,803200.0,12.59,36,Closed,2025-06-02,0.42001777963708625
LOAN70007,CUST11569,Auto,805200.0,16.34,48,Defaulted,2026-08-20,0.5491372843210802
LOAN70008,CUST11590,Business,5000000.0,14.44,36,Active,2023-12-13,8.954154727793696
LOAN70009,CUST14340,Personal,205600.0,8.48,36,Active,2024-05-11,0.327076041998091
LOAN70010,CUST11887,Education,1300500.0,10.9,24,Closed,2022-06-19,2.7229899497487438
LOAN70011,CUST10247,Education,589700.0,12.93,120,Closed,2022-03-05,1.6312586445366528
LOAN70012,CUST14012,Home,3596800.0,16.21,12,Closed,2023-10-16,11.036514268180424
LOAN70013,CUST11620,Personal,325700.0,8.93,84,Active,2025-03-03,0.7602707749766573
LOAN70014,CUST13721,Home,427900.0,13.23,84,Closed,2023-10-24,0.440452907874421
LOAN70015,CUST12632,Personal,897600.0,12.07,60,Closed,2022-11-19,2.0797034291010195
LOAN70016,CUST12794,Home,1166800.0,15.84,36,Closed,2026-08-15,2.8981619473422753
LOAN70017,CUST10593,Education,690700.0,16.17,84,Pending,2022-05-05,1.6179433122511127
LOAN70018,CUST10336,Personal,742600.0,9.87,36,Active,2024-01-23,1.3875186846038865
LOAN70019,CUST14627,Personal,1388100.0,11.92,36,Active,2024-06-02,2.849722849517553
LOAN70020,CUST14059,Home,577000.0,10.81,12,Closed,2026-07-10,0.7532637075718016
LOAN70021,CUST14034,Personal,1396000.0,14.66,60,Closed,2023-02-06,2.2960526315789473
LOAN70022,CUST11178,Auto,715900.0,9.22,60,Closed,2026-03-17,2.104969126727433
LOAN70023,CUST11808,Home,187500.0,9.47,48,Active,2024-08-26,0.26789541363051866
LOAN70024,CUST13030,Personal,170300.0,12.6,36,Closed,2024-07-08,1.0937700706486833
LOAN70025,CUST10602,Education,236100.0,7.52,36,Active,2023-08-18,0.42787241754258787
LOAN70026,CUST13626,Business,790400.0,15.66,84,Closed,2023-11-15,1.1168574254627668
LOAN70027,CUST13562,Personal,114900.0,15.99,60,Closed,2022-11-30,0.09986962190352021
LOAN70028,CUST15000,Business,916400.0,7.84,48,Closed,2025-09-26,2.9390635022450287
LOAN70029,CUST10714,Personal,482300.0,10.42,24,Active,2026-07-08,0.8196804894629504
LOAN70030,CUST11721,Business,230100.0,10.85,48,Active,2025-07-18,0.4702636419374617
LOAN70031,CUST10063,Personal,2310200.0,12.74,36,Closed,2022-01-15,7.301517067003792
LOAN70032,CUST13615,Business,549500.0,9.64,36,Active,2024-12-02,1.0417061611374407
LOAN70033,CUST13149,Personal,551400.0,13.54,24,Closed,2024-09-27,3.196521739130435
LOAN70034,CUST11172,Personal,880700.0,10.67,24,Pending,2025-12-26,0.9582199978239582
LOAN70035,CUST13900,Home,731800.0,11.05,12,Closed,2023-09-29,2.1230055120394544
LOAN70036,CUST13814,Home,2147200.0,15.05,60,Active,2023-09-29,5.5197943444730075
LOAN70037,CUST10849,Personal,398100.0,10.01,48,Active,2023-02-26,0.29425678172813957
LOAN70038,CUST13431,Personal,237800.0,12.85,12,Active,2023-08-28,1.2994535519125683
LOAN70039,CUST14850,Home,498800.0,9.01,60,Closed,2023-03-31,1.0
LOAN70040,CUST11082,Home,3571200.0,14.69,36,Closed,2025-05-28,10.485026423957722
LOAN70041,CUST13285,Personal,660100.0,12.47,12,Active,2025-02-24,0.3451864247241542
LOAN70042,CUST10127,Auto,2063300.0,11.29,36,Closed,2024-08-12,6.651515151515151
LOAN70043,CUST14946,Business,526300.0,10.72,48,Closed,2022-03-30,2.48606518658479
LOAN70044,CUST10093,Personal,911800.0,10.73,48,Active,2025-03-17,1.3460289341600236
LOAN70045,CUST14927,Business,688700.0,9.71,48,Active,2023-07-07,0.645152224824356
LOAN70046,CUST12795,Business,1021300.0,8.91,24,Active,2026-03-26,1.0665204678362572
LOAN70047,CUST11508,Personal,916200.0,8.4,60,Pending,2023-06-26,1.4531324345757335
LOAN70048,CUST14081,Personal,318200.0,15.81,84,Defaulted,2022-03-05,0.6967374644186556
LOAN70049,CUST12540,Business,1620700.0,7.99,48,Active,2024-08-23,5.467948717948718
LOAN70050,CUST14251,Personal,566000.0,15.21,84,Pending,2022-04-10,0.319214934295866
LOAN70051,CUST12990,Personal,884100.0,10.54,12,Active,2026-01-18,1.4992369001187045
LOAN70052,CUST13221,Business,273500.0,9.63,24,Active,2024-05-21,0.2972502988805565
LOAN70053,CUST10955,Business,258800.0,11.1,36,Closed,2022-09-13,0.20758803240555065
LOAN70054,CUST10148,Auto,592100.0,15.59,60,Active,2023-06-24,1.0297391304347827
LOAN70055,CUST13231,Business,411100.0,11.08,36,Active,2022-08-04,0.43484239475354347
LOAN70056,CUST10567,Personal,383700.0,7.54,60,Closed,2025-03-12,0.8908753192477362
LOAN70057,CUST10474,Personal,410200.0,15.52,48,Pending,2023-11-14,0.7411690306260729
LOAN70058,CUST13339,Home,489600.0,8.21,60,Closed,2022-07-01,0.3050847457627119
LOAN70059,CUST13915,Business,438600.0,8.86,36,Pending,2023-05-01,1.5181723779854621
LOAN70060,CUST11978,Auto,433600.0,9.58,36,Active,2026-05-15,1.0081376424087423
LOAN70061,CUST11270,Personal,334200.0,12.4,60,Active,2025-12-26,0.8201226993865031
LOAN70062,CUST14528,Personal,123500.0,15.8,60,Active,2023-10-13,0.09589253824054662
LOAN70063,CUST12890,Business,1168600.0,10.05,36,Active,2023-01-29,2.334865134865135
LOAN70064,CUST11317,Education,722200.0,7.76,24,Active,2025-03-12,1.1880243461095574
LOAN70065,CUST11008,Personal,259900.0,10.64,84,Active,2026-03-10,0.4008328192473782
LOAN70066,CUST13521,Auto,499000.0,8.74,12,Pending,2025-08-17,0.4898880816807383
LOAN70067,CUST14577,Personal,2669800.0,13.56,24,Defaulted,2024-05-09,1.6627016254593012
LOAN70068,CUST12008,Personal,612250.0,11.53,12,Active,2022-12-20,1.2507660878447395
LOAN70069,CUST11848,Personal,1980300.0,17.0,12,Defaulted,2023-11-01,7.369929289170078
LOAN70070,CUST14368,Personal,790200.0,17.95,60,Defaulted,2022-11-15,1.4176533907427342
LOAN70071,CUST12637,Personal,2370500.0,16.27,36,Active,2023-12-22,2.1159510845309293
LOAN70072,CUST13044,Home,874700.0,12.9,60,Pending,2022-12-19,0.4082994912010456
LOAN70073,CUST12971,Personal,530100.0,8.63,48,Active,2022-03-08,0.6323511869259215
LOAN70074,CUST10610,Home,380000.0,12.64,36,Closed,2025-03-25,0.44486068836338094
LOAN70076,CUST11485,Education,750500.0,14.24,60,Closed,2026-04-03,1.9503638253638254
LOAN70077,CUST11472,Business,196800.0,16.59,12,Defaulted,2024-03-01,0.20153609831029187
LOAN70078,CUST11920,Home,1440900.0,12.7,36,Closed,2024-02-04,3.7377431906614786
LOAN70079,CUST10176,Business,849300.0,12.46,24,Pending,2025-07-05,1.6758089976322021
LOAN70080,CUST10350,Home,1457300.0,13.7,36,Closed,2023-08-12,2.4264069264069263
LOAN70081,CUST12917,Education,430700.0,13.62,36,Closed,2024-03-06,0.9006691760769553
LOAN70082,CUST13564,Education,885700.0,9.61,120,Active,2024-05-15,1.375951530215939
LOAN70083,CUST12316,Personal,2259300.0,14.44,36,Active,2022-06-01,4.0822115818953835
LOAN70084,CUST14287,Home,285700.0,8.07,84,Active,2022-01-15,0.21192789852384838
LOAN70085,CUST10241,Home,636300.0,11.51,84,Active,2022-08-12,0.5494818652849741
LOAN70086,CUST13255,Personal,665900.0,8.98,60,Active,2024-02-20,1.6888156226223687
LOAN70087,CUST12445,Personal,397300.0,14.32,48,Pending,2022-09-03,0.6204903951272841
LOAN70088,CUST13457,Home,177700.0,11.99,12,Active,2023-02-24,0.18104941416199694
LOAN70089,CUST11908,Auto,586400.0,11.33,48,Closed,2022-08-25,0.44821524115264083
LOAN70090,CUST14004,Personal,396000.0,14.98,36,Active,2022-05-18,0.4080370942812983
LOAN70091,CUST12681,Auto,393500.0,12.297836317135548,48,Pending,2022-09-07,0.477722471773704
LOAN70092,CUST14409,Home,432500.0,11.21,48,Pending,2025-01-03,1.0300071445582282
LOAN70093,CUST12908,Auto,1006000.0,15.29,24,Active,2025-05-31,1.0893340552246886
LOAN70094,CUST10466,Auto,1819200.0,8.44,36,Closed,2026-03-17,2.7812261122152577
LOAN70095,CUST14188,Education,1614600.0,12.79,12,Active,2022-08-01,3.6274994383284653
LOAN70096,CUST11270,Home,344000.0,15.4,84,Active,2024-08-05,0.8441717791411043
LOAN70097,CUST10145,Auto,939500.0,11.39,84,Pending,2026-02-23,2.759988249118684
LOAN70098,CUST10141,Education,375500.0,9.45,48,Active,2025-09-20,0.563052931473984
LOAN70099,CUST14437,Auto,5000000.0,11.91,120,Active,2023-01-20,40.61738424045492
LOAN70100,CUST10166,Personal,75400.0,14.04,60,Defaulted,2022-06-23,0.12697878073425395
