transaction_id,account_id,transaction_date,transaction_type,transaction_amount,transaction_direction,transaction_status,channel,merchant_category,amount_issue,transaction_month,transaction_year
TXN50001,ACC22000,2025-11-26 02:38:00,POS,1919.02,Credit,Successful,POS,Groceries,Valid,November,2025
TXN50002,ACC20749,2025-05-07 20:20:00,Bill Payment,3050.39,Debit,Reversed,POS,Other,Valid,May,2025
TXN50003,ACC22844,2025-10-04 17:14:00,UPI,169.18,Credit,Failed,POS,Utilities,Valid,October,2025
TXN50004,ACC24753,2025-09-01 14:58:00,Cash Withdrawal,2385.53,Debit,Successful,ATM,Other,Valid,September,2025
TXN50005,ACC24906,2025-01-15 18:59:00,IMPS,631.12,Debit,Successful,Mobile App,Dining,Valid,January,2025
TXN50006,ACC21477,2025-01-14 16:42:00,UPI,2595.82,Debit,Successful,POS,Dining,Valid,January,2025
TXN50007,ACC20409,2025-02-13 13:02:00,UPI,779.5,Debit,Successful,POS,Dining,Valid,February,2025
TXN50008,ACC23939,2025-04-20 23:52:00,POS,567.22,Debit,Successful,ATM,Groceries,Valid,April,2025
TXN50009,ACC21152,2025-06-28 20:25:00,UPI,261.16,Credit,Successful,POS,Travel,Valid,June,2025
TXN50010,ACC23845,2025-02-12 22:15:00,NEFT,265.99,Debit,Successful,Mobile App,Travel,Valid,February,2025
TXN50011,ACC25577,2025-05-17 18:06:00,UPI,902.06,Credit,Successful,POS,Other,Valid,May,2025
TXN50012,ACC23197,2025-04-22 06:46:00,Cash Deposit,4712.22,Debit,Successful,ATM,Utilities,Valid,April,2025
TXN50013,ACC20102,2025-07-26 08:15:00,POS,4333.4,Debit,Successful,POS,Travel,Valid,July,2025
TXN50014,ACC25910,2025-01-08 06:06:00,IMPS,3207.8,Credit,Reversed,Branch,Fuel,Valid,January,2025
TXN50015,ACC22150,2025-02-17 19:33:00,UPI,21624.9,Debit,Successful,Mobile App,Education,Valid,February,2025
TXN50016,ACC23800,2025-03-01 12:32:00,IMPS,27840.94,Debit,Successful,Mobile App,Healthcare,Valid,March,2025
